Timestamp,Email Address,Full Name,"Time Slot Availability: First Preference. Please choose one

Note: Choosing a time slot on this form does not necessarily guarantee you that time slot, as all slots are first-come, first-served! You will receive a confirmation calendar invite with details shortly after signing up.",First Preference Flexibility How flexible are you within your selected primary hour block?,"Time Slot Availability: Second Preference. Please choose one

Note: Choosing a time slot on this form does not necessarily guarantee you that time slot, as all slots are first-come, first-served! You will receive a confirmation calendar invite with details shortly after signing up.",Second Preference Flexibility How flexible are you within your selected primary hour block?,Swim Comfort & Lane Placement,Are you racing with a buddy or group?,Is this your first triathlon?,"If you’d like to be added to your Super Sprint Ping Group and included on the leaderboard, opt in below.",How did you hear about this event?,Is this your first GFit event?,"Would you like to volunteer at the event? 

If yes, an event led with contact you directly with details. ","Any comments, questions, or accessibility needs?",Portal URL
6/5/2026 20:35:24,test.participant009@example.com,Quinn Walker,10:00AM-11:00AM,Start exactly at :00,10:00AM-11:00AM,Start exactly at :00,"Novice (Can swim short distances, needs breaks)","Group, Team Delta",Yes,Yes,Coach or Onsite Class,No,Yes,Stress A-09 exact 10:00,/portal/row-208?event=super-sprint-registration-2026-test
6/5/2026 20:35:39,test.participant010@example.com,Jamie Flores,10:00AM-11:00AM,Start exactly at :00,9:00AM-10:00AM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Buddy, Evan Flores",No,Yes,Coach or Onsite Class,Yes,No,Stress A-10 exact 10:00,/portal/row-209?event=super-sprint-registration-2026-test
6/5/2026 20:35:54,test.participant011@example.com,Skyler Bennett,10:00AM-11:00AM,Start exactly at :00,12:00PM-1:00PM,Start exactly at :15,Advanced (Strong continuous swimming pace),Single,No,Yes,Coach or Onsite Class,No,No,Stress A-11 overflow from exact 10:00,/portal/row-210?event=super-sprint-registration-2026-test
6/5/2026 20:36:09,test.participant012@example.com,Cameron Ortiz,10:00AM-11:00AM,Start exactly at :00,12:00PM-1:00PM,Start exactly at :30,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Team Alpha",Yes,Yes,Coach or Onsite Class,No,No,Stress A-12 overflow from exact 10:00,/portal/row-211?event=super-sprint-registration-2026-test
6/5/2026 20:36:24,test.participant013@example.com,Parker Long,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :45,"Novice (Can swim short distances, needs breaks)",Single,No,Yes,Coach or Onsite Class,Yes,Yes,Stress A-13 overflow from exact 10:00,/portal/row-212?event=super-sprint-registration-2026-test
6/5/2026 20:36:39,test.participant014@example.com,Harper Reed,10:00AM-11:00AM,Start exactly at :00,9:00AM-10:00AM,Start exactly at :15,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Buddy, Avery Reed",No,Yes,Coach or Onsite Class,No,No,Stress A-14 overflow from exact 10:00,/portal/row-213?event=super-sprint-registration-2026-test
6/5/2026 20:36:54,test.participant015@example.com,Kendall Price,10:00AM-11:00AM,Start exactly at :00,8:00AM-9:00AM,Start exactly at :00,Advanced (Strong continuous swimming pace),Single,Yes,Yes,Coach or Onsite Class,No,No,Stress A-15 overflow from exact 10:00,/portal/row-214?event=super-sprint-registration-2026-test
6/5/2026 20:37:09,test.participant016@example.com,Logan Ross,10:15AM-11:15AM,Start exactly at :15,11:15AM-12:15PM,Start exactly at :15,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,No,Yes,Coach or Onsite Class,No,No,Stress B-01 exact 10:15,/portal/row-215?event=super-sprint-registration-2026-test
6/5/2026 20:37:24,test.participant017@example.com,Reese Diaz,10:15AM-11:15AM,Start exactly at :15,11:15AM-12:15PM,Start exactly at :15,"Novice (Can swim short distances, needs breaks)","Group, Team Bravo",Yes,Yes,Coach or Onsite Class,Yes,Yes,Stress B-02 exact 10:15,/portal/row-216?event=super-sprint-registration-2026-test
6/5/2026 20:37:39,test.participant018@example.com,Avery Stone,10:15AM-11:15AM,Start exactly at :15,9:15AM-10:15AM,Start exactly at :15,Advanced (Strong continuous swimming pace),"Buddy, Jordan Stone",No,Yes,Coach or Onsite Class,No,No,Stress B-03 exact 10:15,/portal/row-217?event=super-sprint-registration-2026-test
6/5/2026 20:37:54,test.participant019@example.com,Finley Scott,10:15AM-11:15AM,Start exactly at :15,12:15PM-1:15PM,Start exactly at :15,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,No,Yes,Coach or Onsite Class,No,No,Stress B-04 exact 10:15,/portal/row-218?event=super-sprint-registration-2026-test
6/5/2026 20:38:09,test.participant020@example.com,Blake Hall,10:15AM-11:15AM,Start exactly at :15,11:15AM-12:15PM,Start exactly at :45,"Novice (Can swim short distances, needs breaks)",Single,Yes,Yes,Coach or Onsite Class,Yes,No,Stress B-05 exact 10:15,/portal/row-219?event=super-sprint-registration-2026-test
6/5/2026 20:38:24,test.participant021@example.com,Emerson Young,10:15AM-11:15AM,Start exactly at :15,10:00AM-11:00AM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Team Echo",No,Yes,Coach or Onsite Class,No,No,Stress B-06 exact 10:15,/portal/row-220?event=super-sprint-registration-2026-test
6/5/2026 20:38:39,test.participant022@example.com,Robin Bell,10:15AM-11:15AM,Start exactly at :15,9:30AM-10:30AM,Start exactly at :30,Advanced (Strong continuous swimming pace),"Buddy, Riley Bell",No,Yes,Coach or Onsite Class,No,No,Stress B-07 exact 10:15,/portal/row-221?event=super-sprint-registration-2026-test
6/5/2026 20:38:54,test.participant023@example.com,Peyton Gray,10:15AM-11:15AM,Start exactly at :15,12:15PM-1:15PM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,Yes,Yes,Coach or Onsite Class,No,Yes,Stress B-08 exact 10:15,/portal/row-222?event=super-sprint-registration-2026-test
6/5/2026 20:39:09,test.participant024@example.com,Dakota Ward,10:15AM-11:15AM,Start exactly at :15,8:15AM-9:15AM,Start exactly at :15,"Novice (Can swim short distances, needs breaks)",Single,No,Yes,Coach or Onsite Class,Yes,Yes,Stress B-09 exact 10:15,/portal/row-223?event=super-sprint-registration-2026-test
6/5/2026 20:39:24,test.participant025@example.com,Charlie West,10:15AM-11:15AM,Start exactly at :15,11:15AM-12:15PM,Start exactly at :30,Advanced (Strong continuous swimming pace),"Group, Team Nova",No,Yes,Coach or Onsite Class,No,No,Stress B-10 exact 10:15,/portal/row-224?event=super-sprint-registration-2026-test
6/5/2026 20:39:39,test.participant026@example.com,Remy Hughes,9:00AM-10:00AM,Within 60 minutes of preferred hour,10:00AM-11:00AM,Within 60 minutes of preferred hour,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,No,Yes,Coach or Onsite Class,No,No,Stress C-01 wide flex for auto spread,/portal/row-225?event=super-sprint-registration-2026-test
6/5/2026 20:39:54,test.participant027@example.com,Hayden Powell,9:00AM-10:00AM,Within 45 minutes of preferred hour,11:00AM-12:00PM,Within 45 minutes of preferred hour,"Novice (Can swim short distances, needs breaks)",Single,Yes,Yes,Coach or Onsite Class,No,Yes,Stress C-02 wide flex for auto spread,/portal/row-226?event=super-sprint-registration-2026-test
6/5/2026 20:40:09,test.participant028@example.com,Sawyer Fisher,9:30AM-10:30AM,Within 30 minutes of preferred hour,10:30AM-11:30AM,Within 30 minutes of preferred hour,Advanced (Strong continuous swimming pace),"Buddy, Morgan Fisher",No,Yes,Coach or Onsite Class,No,No,Stress C-03 medium flex for auto spread,/portal/row-227?event=super-sprint-registration-2026-test
6/5/2026 20:40:24,test.participant029@example.com,Rowan Simmons,9:45AM-10:45AM,Within 15 minutes of preferred hour,10:45AM-11:45AM,Within 15 minutes of preferred hour,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Team Coral",No,Yes,Coach or Onsite Class,Yes,No,Stress C-04 medium flex for auto spread,/portal/row-228?event=super-sprint-registration-2026-test
6/5/2026 20:40:39,test.participant030@example.com,Elliot Foster,10:00AM-11:00AM,No preference any 15-minute wave in this hour is fine,11:00AM-12:00PM,No preference any 15-minute wave in this hour is fine,"Novice (Can swim short distances, needs breaks)",Single,Yes,Yes,Coach or Onsite Class,No,Yes,Stress C-05 no-pref style text,/portal/row-229?event=super-sprint-registration-2026-test
6/5/2026 20:40:54,test.participant031@example.com,Phoenix Barnes,10:00AM-11:00AM,Within 60 minutes of preferred hour,12:00PM-1:00PM,Within 60 minutes of preferred hour,Advanced (Strong continuous swimming pace),Single,No,Yes,Coach or Onsite Class,No,No,Stress C-06 high flex spillover,/portal/row-230?event=super-sprint-registration-2026-test
6/5/2026 20:41:09,test.participant032@example.com,River Sullivan,8:00AM-9:00AM,Within 120 minutes of preferred hour,10:00AM-11:00AM,Within 120 minutes of preferred hour,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Team Orbit",No,Yes,Coach or Onsite Class,No,No,Stress C-07 max flex edge,/portal/row-231?event=super-sprint-registration-2026-test
6/5/2026 20:41:24,test.participant033@example.com,Shawn Perry,11:00AM-12:00PM,Within 60 minutes of preferred hour,9:00AM-10:00AM,Within 60 minutes of preferred hour,"Novice (Can swim short distances, needs breaks)",Single,Yes,Yes,Coach or Onsite Class,Yes,Yes,Stress C-08 reverse preference ordering,/portal/row-232?event=super-sprint-registration-2026-test
6/5/2026 20:41:39,test.participant034@example.com,Lane Woods,11:30AM-12:30PM,Within 45 minutes of preferred hour,10:30AM-11:30AM,Within 45 minutes of preferred hour,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Buddy, Kim Woods",No,Yes,Coach or Onsite Class,No,No,Stress C-09 moderate flex spillover,/portal/row-233?event=super-sprint-registration-2026-test
6/5/2026 20:41:54,test.participant035@example.com,Tatum Coleman,12:00PM-1:00PM,Start exactly at :00,10:00AM-11:00AM,Start exactly at :00,Advanced (Strong continuous swimming pace),Single,No,Yes,Coach or Onsite Class,No,No,Stress D-01 exact noon,/portal/row-234?event=super-sprint-registration-2026-test
6/5/2026 20:42:09,test.participant036@example.com,Noel Jenkins,12:15PM-1:15PM,Start exactly at :15,10:15AM-11:15AM,Start exactly at :15,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,Yes,Yes,Coach or Onsite Class,No,No,Stress D-02 exact :15,/portal/row-235?event=super-sprint-registration-2026-test
6/5/2026 20:42:24,test.participant037@example.com,Ari Long,12:30PM-1:30PM,Start exactly at :30,10:30AM-11:30AM,Start exactly at :30,"Novice (Can swim short distances, needs breaks)","Group, Team Pine",No,Yes,Coach or Onsite Class,Yes,Yes,Stress D-03 exact :30,/portal/row-236?event=super-sprint-registration-2026-test
6/5/2026 20:42:39,test.participant038@example.com,Micah Ford,12:45PM-1:45PM,Start exactly at :45,10:45AM-11:45AM,Start exactly at :45,Advanced (Strong continuous swimming pace),"Buddy, Ellis Ford",No,Yes,Coach or Onsite Class,No,No,Stress D-04 exact :45,/portal/row-237?event=super-sprint-registration-2026-test
6/5/2026 20:42:54,test.participant039@example.com,Kai Webb,10:00AM-11:00AM,Start exactly at :00,10:00AM-11:00AM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,No,Yes,Coach or Onsite Class,No,No,Stress D-05 heavy collision 10:00,/portal/row-238?event=super-sprint-registration-2026-test
6/5/2026 20:43:09,test.participant040@example.com,Emery Lane,10:00AM-11:00AM,Start exactly at :00,10:15AM-11:15AM,Start exactly at :15,"Novice (Can swim short distances, needs breaks)",Single,Yes,Yes,Coach or Onsite Class,No,Yes,Stress D-06 heavy collision 10:00 then 10:15,/portal/row-239?event=super-sprint-registration-2026-test
6/5/2026 22:12:01,stress.batch101@example.com,Casey Brown,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Taylor Brown",Yes,Add me to my Super Sprint Ping Group,Instagram,No,No,Need left-side bike rack.,/portal/row-310?event=super-sprint-registration-2026-test
6/5/2026 22:12:19,stress.batch102@example.com,Jordan Miles,10:00AM-11:00AM,Start exactly at :00,11:00AM-12:00PM,Start exactly at :15,"Novice (Can swim short distances, needs breaks)",Single,No,Include me on the leaderboard,Friend,Yes,Yes,"First timer, nervous about swim.",/portal/row-311?event=super-sprint-registration-2026-test
6/5/2026 22:12:37,stress.batch103@example.com,Riley Adams,10:00AM-11:00AM,Start exactly at :00,10:15AM-11:15AM,Start exactly at :15,Advanced (Strong continuous swimming pace),"Buddy, Alex Adams",No,"Add me to my Super Sprint Ping Group, Include me on the leaderboard",Coach Referral,No,No,Can start early if needed.,/portal/row-312?event=super-sprint-registration-2026-test
6/5/2026 22:12:55,stress.batch104@example.com,Morgan Patel,10:00AM-11:00AM,Start exactly at :00,12:00PM-1:00PM,Start exactly at :00,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,Yes,,Google,No,No,No additional notes.,/portal/row-313?event=super-sprint-registration-2026-test
6/5/2026 22:13:13,stress.batch105@example.com,Jamie Lee,10:15AM-11:15AM,Start exactly at :15,11:15AM-12:15PM,Start exactly at :15,"Novice (Can swim short distances, needs breaks)","Group, Team Pine",No,Add me to my Super Sprint Ping Group,Email,No,Yes,Prefer edge lane.,/portal/row-314?event=super-sprint-registration-2026-test
6/5/2026 22:13:31,stress.batch106@example.com,Taylor Kim,10:15AM-11:15AM,Start exactly at :15,12:15PM-1:15PM,Start exactly at :15,Advanced (Strong continuous swimming pace),Single,No,Include me on the leaderboard,Instagram,No,No,Can volunteer post-event.,/portal/row-315?event=super-sprint-registration-2026-test
6/5/2026 22:13:49,stress.batch107@example.com,Alex Nguyen,10:15AM-11:15AM,Start exactly at :15,9:15AM-10:15AM,Start exactly at :15,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Buddy, Sam Nguyen",Yes,"Add me to my Super Sprint Ping Group, Include me on the leaderboard",Friend,Yes,No,Need accessibility parking info.,/portal/row-316?event=super-sprint-registration-2026-test
6/5/2026 22:14:07,stress.batch108@example.com,Quinn Ross,10:15AM-11:15AM,Start exactly at :15,8:15AM-9:15AM,Start exactly at :15,"Novice (Can swim short distances, needs breaks)",Single,No,,Other,No,No,No preferences.,/portal/row-317?event=super-sprint-registration-2026-test
6/5/2026 22:14:25,stress.batch109@example.com,Parker Stone,10:30AM-11:30AM,Start exactly at :30,11:30AM-12:30PM,Start exactly at :30,Intermediate (Comfortable swimming at a steady pace for 5 minutes),"Group, Team Echo",No,Add me to my Super Sprint Ping Group,Google,No,No,Team wants same wave if possible.,/portal/row-318?event=super-sprint-registration-2026-test
6/5/2026 22:14:43,stress.batch110@example.com,Skyler Ford,10:30AM-11:30AM,Start exactly at :30,12:30PM-1:30PM,Start exactly at :30,Advanced (Strong continuous swimming pace),Single,No,Include me on the leaderboard,Instagram,No,No,Track me for PR attempt.,/portal/row-319?event=super-sprint-registration-2026-test
6/5/2026 22:15:01,stress.batch111@example.com,Reese Allen,10:30AM-11:30AM,Start exactly at :30,9:30AM-10:30AM,Start exactly at :30,"Novice (Can swim short distances, needs breaks)","Buddy, Drew Allen",Yes,"Add me to my Super Sprint Ping Group, Include me on the leaderboard",Friend,No,Yes,Buddy pair check.,/portal/row-320?event=super-sprint-registration-2026-test
6/5/2026 22:15:19,stress.batch112@example.com,Emery Cruz,10:30AM-11:30AM,Start exactly at :30,8:30AM-9:30AM,Start exactly at :30,Intermediate (Comfortable swimming at a steady pace for 5 minutes),Single,No,,Coach Referral,Yes,No,May arrive 10 min early.,/portal/row-321?event=super-sprint-registration-2026-test
6/5/2026 22:16:03,stress.batch113@example.com,Jules Navarro,8:00 AM - 9:00 AM,Start exactly at :00,9:30 AM - 10:30 AM,Start exactly at :30,Beginner,Single,No,Ping Group,Team Channel,No,No,Can arrive 5 min early.,/portal/row-322?event=super-sprint-registration-2026-test
6/5/2026 22:16:41,stress.batch114@example.com,Parker Shah,8:15 AM - 9:15 AM,Start exactly at :15,10:00 AM - 11:00 AM,Start exactly at :00,Intermediate,Single,No,Leaderboard,Coach Referral,No,Yes,No notes.,/portal/row-323?event=super-sprint-registration-2026-test
6/5/2026 22:17:09,stress.batch115@example.com,Rory Kim,8:30 AM - 9:30 AM,Start exactly at :30,10:30 AM - 11:30 AM,Start exactly at :30,Advanced,Single,No,"Ping Group, Leaderboard",Email,No,No,Prefer outside lane if possible.,/portal/row-324?event=super-sprint-registration-2026-test
6/5/2026 22:17:34,stress.batch116@example.com,Skye Patel,8:45 AM - 9:45 AM,Start exactly at :45,9:15 AM - 10:15 AM,Start exactly at :15,Intermediate,Buddy,Yes,Ping Group,Friend Referral,Yes,No,First triathlon.,/portal/row-325?event=super-sprint-registration-2026-test
6/5/2026 22:18:02,stress.batch117@example.com,Taylor Brooks,9:00 AM - 10:00 AM,Start exactly at :00,11:00 AM - 12:00 PM,Start exactly at :00,Beginner,Single,Yes,Neither,Poster,Yes,Yes,Would like beginner-friendly lane.,/portal/row-326?event=super-sprint-registration-2026-test
6/5/2026 22:18:27,stress.batch118@example.com,Umber Diaz,9:15 AM - 10:15 AM,Start exactly at :15,10:15 AM - 11:15 AM,Start exactly at :15,Intermediate,Group,No,Ping Group,Teammate,No,No,No notes.,/portal/row-327?event=super-sprint-registration-2026-test
6/5/2026 22:18:56,stress.batch119@example.com,Val Chen,9:30 AM - 10:30 AM,Start exactly at :30,8:30 AM - 9:30 AM,Start exactly at :30,Advanced,Single,No,Leaderboard,Slack,No,No,Can stay late if needed.,/portal/row-328?event=super-sprint-registration-2026-test
6/5/2026 22:19:21,stress.batch120@example.com,Wren Liu,9:45 AM - 10:45 AM,Start exactly at :45,11:15 AM - 12:00 PM,Start exactly at :15,Intermediate,Buddy,No,"Ping Group, Leaderboard",Coach Referral,No,Yes,Buddy name shared separately.,/portal/row-329?event=super-sprint-registration-2026-test
6/5/2026 22:19:47,stress.batch121@example.com,Xen Ortiz,10:00 AM - 11:00 AM,Start exactly at :00,9:00 AM - 10:00 AM,Start exactly at :00,Beginner,Single,Yes,Ping Group,Google Chat,Yes,No,Need a little extra transition time.,/portal/row-330?event=super-sprint-registration-2026-test
6/5/2026 22:20:11,stress.batch122@example.com,Yael Park,10:15 AM - 11:15 AM,Start exactly at :15,8:15 AM - 9:15 AM,Start exactly at :15,Intermediate,Single,No,Neither,Email,No,No,No notes.,/portal/row-331?event=super-sprint-registration-2026-test
6/5/2026 22:20:39,stress.batch123@example.com,Zane Rivera,10:30 AM - 11:30 AM,Start exactly at :30,9:30 AM - 10:30 AM,Start exactly at :30,Advanced,Group,No,Leaderboard,Team Channel,No,Yes,Group name: Lightning.,/portal/row-332?event=super-sprint-registration-2026-test
6/5/2026 22:21:06,stress.batch124@example.com,Ari Monroe,10:45 AM - 11:45 AM,Start exactly at :45,8:45 AM - 9:45 AM,Start exactly at :45,Intermediate,Single,No,Ping Group,Poster,No,No,Can start a bit earlier too.,/portal/row-333?event=super-sprint-registration-2026-test
6/5/2026 22:21:31,stress.batch125@example.com,Blake Singh,11:00 AM - 12:00 PM,Start exactly at :00,9:00 AM - 10:00 AM,Start exactly at :00,Beginner,Buddy,Yes,"Ping Group, Leaderboard",Coach Referral,Yes,No,"First event, very excited.",/portal/row-334?event=super-sprint-registration-2026-test
6/5/2026 22:21:58,stress.batch126@example.com,Casey Young,11:15 AM - 12:00 PM,Start exactly at :15,10:15 AM - 11:15 AM,Start exactly at :15,Intermediate,Single,No,Neither,Friend Referral,No,No,No notes.,/portal/row-335?event=super-sprint-registration-2026-test
6/5/2026 22:22:24,stress.batch127@example.com,Devon Reed,8:00 AM - 9:00 AM,Start exactly at :00,10:00 AM - 11:00 AM,Start exactly at :00,Advanced,Single,No,Leaderboard,Slack,No,Yes,Can bike at moderate pace only.,/portal/row-336?event=super-sprint-registration-2026-test
6/5/2026 22:22:52,stress.batch128@example.com,Ellis Grant,8:30 AM - 9:30 AM,Start exactly at :30,11:00 AM - 12:00 PM,Start exactly at :00,Intermediate,Group,No,Ping Group,Teammate,No,No,Group name: Orbit.,/portal/row-337?event=super-sprint-registration-2026-test
6/5/2026 22:23:18,stress.batch129@example.com,Finley Cole,9:00 AM - 10:00 AM,Start exactly at :00,10:30 AM - 11:30 AM,Start exactly at :30,Beginner,Single,Yes,"Ping Group, Leaderboard",Email,Yes,No,Would like lane guidance.,/portal/row-338?event=super-sprint-registration-2026-test
6/5/2026 22:23:44,stress.batch130@example.com,Grey Adams,9:30 AM - 10:30 AM,Start exactly at :30,8:30 AM - 9:30 AM,Start exactly at :30,Intermediate,Buddy,No,Neither,Coach Referral,No,No,No notes.,/portal/row-339?event=super-sprint-registration-2026-test
6/5/2026 22:24:09,stress.batch131@example.com,Harper Wells,10:00 AM - 11:00 AM,Start exactly at :00,11:15 AM - 12:00 PM,Start exactly at :15,Advanced,Single,No,Leaderboard,Team Channel,No,Yes,Can do strong bike effort.,/portal/row-340?event=super-sprint-registration-2026-test
6/5/2026 22:24:37,stress.batch132@example.com,Indy Flores,10:15 AM - 11:15 AM,Start exactly at :15,9:15 AM - 10:15 AM,Start exactly at :15,Intermediate,Single,No,Ping Group,Poster,No,No,May arrive 10 min early.,/portal/row-341?event=super-sprint-registration-2026-test
